"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,female,413,803,24,,38,THB,172.3849096,12,,,,,1,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,male,615,1235,27,,34,THB,158.08361807,5,,3,,,1,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,male,117,237,6,1,6,THB,135.12710613,4,,,,,1,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,female,509,967,14,,22,THB,127.81760892,2,,,,,2,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,female,147,288,7,,13,THB,121.19296792,2,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,male,78,148,4,,3,THB,70.85188956,2,1,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,unknown,200,392,9,,10,THB,38.31026415,5,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,unknown,132,275,4,,4,THB,37.09962379,1,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,unknown,34,103,2,,3,THB,36.24677764,1,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",65+,female,73,130,,,0,THB,30.14058201,,,,,,,2026-08-01,2026-08-18
