"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",45-54,male,7635,13792,4281,,1361,THB,426.0873046,1337,,2,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",35-44,male,3932,6611,231,,201,THB,412.39716336,221,1,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",45-54,female,2916,4657,329,,300,THB,404.95595148,307,1,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",45-54,male,1894,3620,101,,5,THB,360.13774902,93,2,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",45-54,male,2742,4787,195,,167,THB,349.75696172,188,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,female,6259,9984,1730,,638,THB,341.56585562,627,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",35-44,female,4428,7280,114,,14,THB,323.42,99,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",65+,male,1897,3760,157,,130,THB,305.96125351,146,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",35-44,female,3096,7698,683,,3,THB,298.66743968,284,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",45-54,female,2394,4571,75,,10,THB,298.27813566,68,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",55-64,female,1902,3099,220,1,194,THB,280.66570946,208,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",35-44,male,3054,7291,832,,7,THB,268.48769839,332,,2,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",35-44,male,3809,6376,90,,7,THB,266.12,83,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",55-64,male,1897,3166,146,,131,THB,262.62277097,140,1,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",55-64,male,4286,8158,3107,1,897,THB,262.11449355,866,1,2,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",65+,female,1416,2852,43,,6,THB,216.07864943,40,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",35-44,female,3313,5426,1213,,355,THB,193.23331268,349,,,,,2026-02-01,2026-02-28
