"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,unknown,20,49,1,,1,THB,3.25795133,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",45-54,unknown,11,13,2,,2,THB,3.0521444,2,,,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,unknown,158,274,5,,4,THB,2.90992306,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,unknown,8,13,3,,3,THB,2.87968839,3,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,male,64,84,3,,1,THB,2.84,,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",55-64,female,53,62,3,,3,THB,2.77,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,unknown,31,65,8,,5,THB,2.65646895,5,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,unknown,4,5,2,,0,THB,2.6348389,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",35-44,unknown,22,28,1,,0,THB,2.51353068,1,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,unknown,3,3,1,,1,THB,2.39383875,1,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,unknown,55,73,2,,2,THB,2.31546449,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",45-54,unknown,21,34,1,,1,THB,2.24932014,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",45-54,unknown,5,7,1,,1,THB,2.14104529,1,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",55-64,unknown,3,6,1,,0,THB,2.11749026,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,unknown,11,21,,,1,THB,1.96262485,,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,unknown,36,53,34,,1,THB,1.87014157,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",35-44,unknown,10,21,2,,0,THB,1.77982595,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,unknown,94,175,1,,2,THB,1.74995373,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,unknown,9,13,,,0,THB,1.5,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,male,16,26,1,,4,THB,1.5,,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",55-64,unknown,5,6,,,0,THB,1.48985431,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,unknown,13,33,,,0,THB,1.3991202,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,unknown,10,24,1,,1,THB,1.37913277,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",65+,unknown,8,14,,,0,THB,1.34959208,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,unknown,77,151,1,,1,THB,0.90997594,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",55-64,unknown,2,2,2,,1,THB,0.88,2,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",65+,unknown,12,20,4,,1,THB,0.85885838,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,unknown,13,19,17,,0,THB,0.85006435,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,unknown,23,34,,,0,THB,0.74998017,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",65+,male,9,14,,,0,THB,0.68,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",35-44,unknown,7,7,,,0,THB,0.65420828,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",55-64,male,21,26,1,,1,THB,0.65,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",65+,unknown,2,2,,,0,THB,0.56932521,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,unknown,11,14,1,,0,THB,0.53,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,unknown,5,5,,,0,THB,0.46,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,unknown,4,4,1,,1,THB,0.43,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",55-64,unknown,1,2,,,0,THB,0.35996105,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,unknown,9,16,3,,1,THB,0.31957521,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",65+,unknown,3,4,2,,0,THB,0.18001363,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,unknown,2,3,,,0,THB,0.16998161,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,unknown,6,7,,,1,THB,0.14961492,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,unknown,3,3,1,,1,THB,0.1,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",65+,unknown,4,5,1,,1,THB,0.08982405,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,unknown,1,1,,,0,THB,0.04,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,unknown,5,6,,,0,THB,0.03997486,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",55-64,unknown,3,3,,,0,THB,0.02992298,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,unknown,1,1,,,0,THB,0.02973674,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",55-64,unknown,1,1,,,0,THB,0.02973674,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,unknown,1,1,,,0,THB,0.02973674,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",45-54,unknown,1,1,,,0,THB,0.02,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",55-64,unknown,1,1,,,0,THB,0.00998045,,,,,,,2025-09-01,2025-09-30
