"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,male,2159,2755,47,,46,THB,66.61950622,2,,3,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,male,508,778,21,,31,THB,66.48143859,18,,,15,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,female,581,754,52,,31,THB,66.23,44,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",65+,female,763,1045,13,,28,THB,64.53390289,11,,,16,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",35-44,male,408,555,23,,31,THB,63.66636053,20,,,16,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",55-64,female,178,322,51,,1,THB,60.77796344,51,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,male,3871,9086,57,,55,THB,59.07843793,28,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,female,145,300,41,,30,THB,57.18381214,39,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,male,267,623,42,,35,THB,55.14532349,39,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",55-64,female,354,454,20,,24,THB,49.56123348,17,,,11,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,male,1028,1483,38,,37,THB,48.5087174,29,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,male,741,1337,847,,27,THB,47.09356507,13,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,male,306,404,40,,30,THB,46.38,37,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",65+,male,110,243,39,,25,THB,45.20510836,37,,,,,,2025-09-01,2025-09-30
