"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",25-34,female,5852,8577,155,,139,THB,383.90976213,139,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",35-44,male,5008,8215,134,,125,THB,374.04246871,107,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,male,983,1982,22,1,32,THB,373.77,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,female,743,1034,24,3,35,THB,365.6427116,1,,,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",45-54,male,4015,6016,1255,,370,THB,346.03494464,376,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,male,5115,7570,140,,121,THB,345.85077707,127,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",35-44,female,5962,9586,132,,124,THB,330.8637813,115,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",45-54,female,5279,8544,131,,119,THB,328.33375239,124,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",35-44,female,3073,5604,97,,14,THB,318.64635804,84,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",45-54,female,3625,6181,155,,149,THB,317.21057421,129,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",45-54,female,4145,5702,1559,,425,THB,311.56445208,416,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,female,904,1622,38,5,37,THB,308.95,5,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,male,4309,7448,83,,69,THB,302.54345764,80,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",55-64,female,4165,6696,113,,101,THB,298.83341524,105,2,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",35-44,male,1240,1921,35,,50,THB,295.86624477,2,,2,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",35-44,female,4789,6607,1266,2,379,THB,288.5841237,376,,,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,female,3649,5684,148,,136,THB,287.4823336,135,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,female,3407,5273,98,,88,THB,268.39284267,90,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",45-54,male,3420,5249,73,1,65,THB,266.9328816,67,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",55-64,female,3228,4590,1413,,329,THB,266.36380619,318,2,2,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",35-44,male,1879,4148,363,,1,THB,263.28107754,155,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",45-54,male,3223,5367,61,,62,THB,261.92873139,53,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",35-44,male,2195,4071,56,,9,THB,250.15714083,48,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",55-64,female,2560,3994,79,,71,THB,240.0235992,74,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",35-44,female,1657,3559,345,,3,THB,238.68910878,168,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",55-64,male,2375,3673,863,,212,THB,223.65319588,216,1,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",65+,male,615,920,19,2,23,THB,208.89861971,,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",55-64,female,2322,3814,59,,59,THB,208.72695791,53,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",55-64,male,2460,3626,51,,41,THB,199.50467973,47,,,,,2026-03-01,2026-03-31
