"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",45-54,male,301,420,73,,8,THB,148.8585887,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",45-54,female,16700,16700,2117,,37,THB,138.94388251,5,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",65+,male,262,360,68,,6,THB,138.88935293,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",25-34,female,16438,16438,1048,,43,THB,135.62426758,10,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",65+,male,14978,14978,1465,2,41,THB,125.38545529,7,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,female,1548,2718,337,,456,THB,103.92229905,47,1,2,2,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",65+,female,11263,11945,1956,,30,THB,100.45834683,5,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",35-44,female,10623,11280,913,,18,THB,94.85899636,3,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",65+,female,240,312,50,,4,THB,94.05279004,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,female,1636,2703,305,,448,THB,86.85520606,54,,1,2,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",65+,female,7647,8791,317,,10,THB,79.51964909,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",35-44,male,7137,7835,287,,6,THB,73.50539064,,,1,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,male,1068,1683,184,1,273,THB,60.81964067,27,,1,1,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",65+,male,5353,5928,209,,6,THB,54.34738852,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,female,644,1146,163,,214,THB,49.52156505,51,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",35-44,female,4970,5131,232,,4,THB,47.34734929,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",45-54,female,4193,4193,191,,8,THB,39.10263736,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",45-54,male,2931,4041,189,,4,THB,36.9219708,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",55-64,female,2931,3186,180,,0,THB,29.67299703,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,male,432,676,91,,127,THB,25.76561138,18,,,1,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",55-64,male,2103,2437,104,,0,THB,22.025728,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,female,264,449,58,,76,THB,19.20672854,12,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",18-24,unknown,1402,1825,51,,1,THB,16.43963695,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,male,256,415,41,,49,THB,14.63750681,14,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,male,140,261,38,,58,THB,9.87831744,10,,,1,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,female,164,236,19,,25,THB,8.97847071,6,,,1,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",25-34,unknown,888,888,38,,1,THB,8.11526597,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,male,72,113,9,,14,THB,4.47923706,4,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,male,68,96,6,,9,THB,3.669375,2,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",35-44,unknown,11,16,2,,1,THB,3.34974321,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",25-34,unknown,290,290,16,,0,THB,2.23974019,,,,,,,2025-02-01,2025-02-28
