"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",35-44,male,8640,13923,887,,275,THB,439.35246228,269,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",45-54,female,3509,4948,176,,160,THB,437.46450032,166,1,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,male,5819,8115,1426,,569,THB,435.00248706,581,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",65+,female,1442,2533,199,2,67,THB,425.83283921,1,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",55-64,male,2651,4077,134,,105,THB,407.4528195,120,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",55-64,male,2629,4005,152,,116,THB,405.87081199,136,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",65+,male,1933,3126,95,,69,THB,360.81020727,89,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",65+,male,1357,2244,163,4,44,THB,340.18226814,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",25-34,male,7256,10460,242,,67,THB,325.89108672,2,,,1,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",65+,female,1917,3016,95,,74,THB,311.21742981,89,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",65+,female,1823,2626,141,,100,THB,297.92059602,127,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",35-44,female,2079,3614,166,6,124,THB,290.8319391,4,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",45-54,male,5004,8111,621,,169,THB,290.18502146,168,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,female,4062,5282,1228,,436,THB,284.53162676,441,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,female,3407,5648,775,,4,THB,281.35080476,339,,7,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",65+,male,1648,2496,93,,61,THB,270.83054182,87,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",35-44,female,1932,4293,461,,3,THB,265.33,252,,2,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",35-44,female,5060,7991,631,,204,THB,250.2557065,203,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",45-54,male,3110,4001,902,,308,THB,246.49140928,315,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",45-54,female,2247,4014,144,4,122,THB,237.70079264,7,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",45-54,female,2839,3715,1090,,312,THB,220.42126022,319,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",35-44,male,2889,4528,227,2,79,THB,220.00146684,4,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",35-44,male,1593,3784,363,,2,THB,219.71,179,,2,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",65+,female,1064,1545,29,1,12,THB,217.17072418,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",45-54,female,1628,2592,110,2,54,THB,213.55142384,5,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",45-54,female,4001,6032,590,,201,THB,210.20639361,200,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",65+,male,795,1263,34,1,16,THB,208.20069427,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,male,2593,4399,516,,1,THB,207.70059409,215,,5,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",55-64,female,2198,2947,974,,246,THB,190.7010903,245,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",55-64,male,1483,2390,122,1,23,THB,185.25123515,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",55-64,male,2790,4679,439,,118,THB,173.05703096,115,2,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",35-44,male,1573,2818,76,3,36,THB,167.88055982,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",55-64,female,2946,4772,541,,148,THB,167.68712309,143,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",55-64,male,1811,2382,595,,169,THB,154.59088385,171,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",45-54,male,1825,2696,130,3,31,THB,133.50089011,1,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",65+,female,1510,1985,680,,164,THB,131.61075246,162,1,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",55-64,female,1595,2526,137,,31,THB,128.09085404,1,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",55-64,male,640,914,18,,5,THB,119.98040009,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",45-54,female,741,1797,196,,0,THB,110.03,99,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",65+,male,1269,1660,471,,130,THB,108.84062228,137,,2,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",65+,female,1650,2938,411,,101,THB,107.86814937,97,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",65+,male,1480,2635,293,,67,THB,99.41829434,64,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",55-64,female,1223,1753,31,1,24,THB,98.25032763,1,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",45-54,female,1225,2001,311,,3,THB,95.23027239,135,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",45-54,male,638,1557,151,,0,THB,92.45,69,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",45-54,male,920,1480,201,,1,THB,69.74019948,74,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",65+,female,423,1093,113,,0,THB,62.3,61,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",65+,female,650,1182,169,,2,THB,57.19016358,78,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",25-34,unknown,324,811,77,,0,THB,50.91,39,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,unknown,461,859,113,,0,THB,49.25014087,67,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",45-54,male,996,1552,31,,17,THB,47.20015739,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",65+,male,273,843,84,,0,THB,45.51,50,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",65+,male,465,919,121,,0,THB,43.15012342,51,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",55-64,female,293,716,83,,0,THB,39.9,34,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",55-64,female,464,799,97,,0,THB,37.96010858,47,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",55-64,male,232,607,70,,1,THB,36.56,27,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",55-64,male,363,635,72,,1,THB,32.52009302,27,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",35-44,unknown,54,164,24,,0,THB,12.12,12,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",25-34,unknown,76,137,4,,3,THB,10.51002103,4,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,unknown,126,186,31,,13,THB,10.05005746,12,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",25-34,unknown,150,295,27,,11,THB,9.5298365,9,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",25-34,unknown,61,101,7,,5,THB,9.35052368,7,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",35-44,unknown,24,44,3,,2,THB,7.82043799,3,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,unknown,73,132,20,,0,THB,7.49002142,11,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",45-54,unknown,24,36,2,,2,THB,4.35024364,2,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",35-44,unknown,24,37,,,3,THB,4.06001354,,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",35-44,unknown,26,36,5,,3,THB,3.63000726,2,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",35-44,unknown,48,72,7,,4,THB,3.42001955,4,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",35-44,unknown,49,91,7,,4,THB,2.90995008,4,,,,,2026-04-01,2026-04-30
