"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",65+,female,3680,4467,3005,,88,THB,203.49,19,1,1,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",55-64,male,3904,4771,2768,1,88,THB,189.15,17,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",35-44,male,876,1766,102,,131,THB,157.24,87,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,female,1048,1649,78,1,103,THB,137.26,46,2,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",45-54,male,612,1120,65,,79,THB,118.13,58,1,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",65+,female,1360,1971,99,,120,THB,117.25318259,64,,1,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",65+,male,2192,2569,1515,,53,THB,101.83,7,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",55-64,male,768,1363,65,,73,THB,98.66267799,39,1,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,female,564,1369,45,,58,THB,94.67,33,,1,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,male,344,647,46,,52,THB,80.26,36,1,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",65+,male,656,1055,49,,58,THB,65.71178361,35,,1,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,male,268,510,21,,27,THB,43.64,20,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",25-34,unknown,368,504,12,,14,THB,19.62053256,2,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",35-44,unknown,96,183,8,,10,THB,6.99018973,2,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",45-54,unknown,55,55,5,,8,THB,4.63012567,1,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",25-34,unknown,65,65,41,,2,THB,2.77,,,,,,,2025-04-01,2025-04-30
