"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,male,11020,25973,147,,292,THB,503.00628765,119,3,9,157,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,male,55643,71935,24,,41,THB,499.91008076,19,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,male,9715,18022,116,,210,THB,495.36,79,,4,102,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,female,57480,71392,47,1,91,THB,494.29019227,33,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,male,55457,71390,24,,51,THB,486.62034445,15,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,male,14157,35136,124,,313,THB,448.25560326,111,2,6,147,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,male,45513,63913,35,,86,THB,447.1040374,26,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,female,9859,18150,118,,238,THB,420.21,90,,6,103,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,male,8022,14856,108,,206,THB,408.24,86,1,3,88,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,male,53177,61800,25,,43,THB,406.88192663,12,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,female,46729,59417,30,,54,THB,405.7345891,23,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,female,41384,56512,30,,75,THB,398.74468232,27,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,male,47524,56832,25,,32,THB,385.40235282,13,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,male,7141,9044,6120,,89,THB,383.36835692,8,,,1,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,female,12096,22533,109,,199,THB,368.8,99,,3,80,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,female,8865,17059,89,,197,THB,353.6,68,1,5,91,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,female,37654,46013,29,,65,THB,318.81367408,23,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,female,13381,27595,76,,221,THB,317.04,67,3,2,58,,,2026-06-01,2026-06-30
