"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",25-34,male,2187,3630,263,1,294,THB,290.27493098,205,1,3,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",18-24,female,2294,4564,262,,363,THB,229.50285792,118,,4,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",55-64,female,1547,3096,244,1,313,THB,222.13244499,129,,3,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",35-44,male,1212,1983,159,,190,THB,172.1588554,126,,2,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",55-64,female,1362,2041,172,2,233,THB,172.10885283,98,2,2,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",45-54,male,948,2097,196,,224,THB,165.729285,143,1,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",18-24,female,661,866,122,,6,THB,152.69,115,,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",65+,female,632,1293,103,1,141,THB,97.1654437,70,,,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",45-54,female,342,520,75,,4,THB,86.36,70,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",35-44,male,312,440,67,,4,THB,86.27,63,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",45-54,male,511,809,84,,89,THB,77.05396345,60,1,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",55-64,male,367,939,93,,102,THB,73.50411808,57,,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",18-24,female,669,1039,69,,81,THB,68.29351284,53,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,unknown,161,393,37,,14,THB,56.01,29,1,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",18-24,male,433,896,54,,65,THB,50.29281766,38,,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",65+,female,387,610,47,,65,THB,42.362179,25,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",65+,male,202,469,48,,50,THB,40.29225738,38,,1,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",55-64,male,215,354,32,,46,THB,39.5120324,24,1,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,unknown,369,896,41,,49,THB,35.86002677,10,,2,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",45-54,male,101,152,20,,1,THB,28.54,20,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",18-24,male,102,149,23,,3,THB,27.47,21,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,unknown,254,601,13,,19,THB,23.10001724,3,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",25-34,unknown,83,111,15,,0,THB,21.5,15,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",55-64,female,76,107,16,,0,THB,21.16,16,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,unknown,53,174,11,,5,THB,21.03,11,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",18-24,male,165,283,25,,27,THB,19.13098405,17,,,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",65+,female,50,72,8,,0,THB,15.24,8,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",25-34,unknown,94,194,16,,18,THB,14.41080737,10,,,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",65+,male,84,147,13,,16,THB,14.28073456,12,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",55-64,male,25,30,10,,1,THB,11.53,9,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",25-34,unknown,59,88,3,,3,THB,7.03036162,1,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",35-44,unknown,20,29,5,,0,THB,5.85,5,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",35-44,unknown,46,97,9,,13,THB,5.46030591,5,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",35-44,unknown,40,51,8,,7,THB,5.44027983,7,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",18-24,unknown,11,11,6,,1,THB,3.73,5,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",65+,male,11,19,3,,1,THB,3.11,2,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",45-54,unknown,24,51,2,,5,THB,3.01016864,2,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",45-54,unknown,21,30,2,,2,THB,1.45007459,2,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",18-24,unknown,14,21,2,,2,THB,1.3100734,2,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",18-24,unknown,8,13,,,0,THB,0.68003498,,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",55-64,unknown,6,9,,,0,THB,0.59003035,,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",65+,unknown,5,9,,,1,THB,0.51002857,,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",55-64,unknown,4,8,1,,1,THB,0.18001009,1,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",65+,unknown,1,1,,,0,THB,0.01000051,,,,,,,2025-08-01,2025-08-31
