"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",65+,female,3648,8143,160,,198,THB,105.9570332,67,,3,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,male,1488,3049,211,,273,THB,98.00869295,67,,,4,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",45-54,male,808,2346,105,,124,THB,94.37660653,85,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",55-64,female,1000,2178,69,,84,THB,83.64585536,50,,1,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,male,1840,2577,154,1,196,THB,65.42912743,26,,2,3,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",65+,female,816,1551,113,,144,THB,57.68923065,22,,1,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,male,864,1548,147,,174,THB,55.59925852,60,,1,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",55-64,male,2176,4298,84,,104,THB,52.9785166,44,1,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",65+,female,688,1419,46,,58,THB,47.84334912,29,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",55-64,male,600,1278,47,1,56,THB,47.09329661,36,,,,,,2025-06-01,2025-06-30
