"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",25-34,male,8623,9711,4,,6,THB,61.38978761,3,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,male,7929,9054,3,,6,THB,60.54452117,2,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",35-44,male,8741,9259,1,,10,THB,59.02315116,1,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",25-34,male,7370,8343,3,,5,THB,55.85029395,3,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,male,7751,8636,6,,15,THB,55.82708847,5,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",55-64,male,6714,7671,10,,8,THB,52.96769814,9,,1,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,female,7008,7850,4,,6,THB,52.72748182,4,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",45-54,female,7702,8280,7,,11,THB,51.23486023,4,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,female,7161,7950,2,,5,THB,51.19484081,2,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,female,5493,6260,16,,28,THB,43.1989012,16,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",35-44,female,6041,6276,5,,6,THB,36.87789393,4,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,male,5131,5571,2,,7,THB,35.46720943,2,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",35-44,female,4911,5301,3,,6,THB,34.24083434,3,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,female,4753,5343,15,,17,THB,33.56628707,10,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,male,4336,4831,4,,9,THB,33.20990598,4,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",25-34,female,4223,4630,4,,7,THB,30.44741832,4,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",25-34,female,3815,4211,3,,8,THB,25.90256847,3,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",35-44,unknown,41,60,11,,5,THB,8.52391943,2,,,2,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",25-34,unknown,36,57,12,,3,THB,8.3935536,,,,3,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",45-54,unknown,24,28,8,,0,THB,2.60731653,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",35-44,unknown,19,31,12,,3,THB,2.30392097,2,,,2,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",65+,unknown,17,28,12,,1,THB,2.22378459,1,,,1,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",25-34,unknown,21,28,2,,0,THB,1.58269354,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",45-54,unknown,17,27,9,,4,THB,1.5125742,2,,,2,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",65+,unknown,7,12,3,,0,THB,1.14320802,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",25-34,unknown,97,112,,,0,THB,0.73035438,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",25-34,unknown,61,73,,,0,THB,0.56050474,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",55-64,unknown,10,11,3,,0,THB,0.50140703,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",35-44,unknown,66,75,,,0,THB,0.48023302,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",45-54,unknown,52,61,1,,1,THB,0.38018447,1,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",35-44,unknown,44,48,,,0,THB,0.36032448,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,unknown,44,49,,,0,THB,0.31027941,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",55-64,unknown,33,38,,,0,THB,0.29026138,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,unknown,35,39,,,0,THB,0.24011651,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",55-64,unknown,7,11,2,,2,THB,0.17028981,1,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,unknown,17,18,,,0,THB,0.13006311,,,,,,2026-07-01,2026-07-06
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,unknown,7,7,,,0,THB,0.04003605,,,,,,2026-07-01,2026-07-06
