"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",55-64,male,1121,1639,63,,75,THB,47.68366467,23,,1,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",55-64,male,104,123,29,,0,THB,43.49070399,29,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",65+,male,72,117,22,,1,THB,31.09050327,22,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",65+,male,737,1225,21,,27,THB,29.49082052,3,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",25-34,unknown,108,152,17,,2,THB,26.43042784,15,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",25-34,male,62,65,16,,4,THB,20.67,13,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025","3021 | BU DIA | Engage | D'Ultimate Your Time to Shine |  22-31 Jul 2025",25-34,female,95,103,12,,3,THB,18.17,8,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",25-34,unknown,256,502,19,,21,THB,13.4895236,4,,1,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",35-44,unknown,52,52,8,,0,THB,10.85017563,7,,,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",35-44,unknown,128,321,22,,29,THB,10.30727694,1,,,,,,2025-07-01,2025-07-31
