"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",45-54,male,5440,8214,486,,40,THB,140.38216226,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",45-54,female,6208,7778,402,,27,THB,129.79275348,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,female,1372,1877,69,,97,THB,126.27,19,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",25-34,male,1492,2298,68,,95,THB,124.79,36,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",55-64,female,2944,5612,314,,23,THB,84.5652786,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",55-64,male,928,1439,118,,149,THB,82.72103402,84,,,1,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",25-34,unknown,2880,4650,260,,20,THB,78.70560575,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",35-44,male,828,1299,36,,47,THB,75.3,21,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",55-64,male,3008,4321,238,,19,THB,68.00620312,,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",65+,female,620,900,27,,45,THB,52.73,10,1,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",45-54,male,408,652,22,,29,THB,43.54,11,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",65+,male,400,713,64,,70,THB,40.00050001,57,,1,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,female,960,1083,96,,141,THB,32.79400249,10,,,2,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",55-64,male,248,310,18,,26,THB,28.33,9,1,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",35-44,unknown,320,981,45,,3,THB,17.20903919,,,,,,,2025-03-01,2025-03-31
