"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",35-44,male,565,1005,134,,7,THB,131.82,128,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",55-64,male,837,1765,156,,175,THB,122.1997786,123,,5,1,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",55-64,male,794,1899,187,,202,THB,101.75729964,130,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,female,553,1022,94,1,101,THB,81.18649666,80,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,male,469,925,87,,91,THB,68.53548431,75,,3,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",45-54,male,93,138,40,,0,THB,65.05,40,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",45-54,male,234,406,58,,2,THB,63.56,56,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",45-54,female,93,118,39,,3,THB,53.56,35,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,female,67,95,37,,3,THB,49.83,28,,6,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",55-64,female,219,366,48,,3,THB,48.75,45,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",65+,male,402,926,111,,106,THB,47.02799517,81,2,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",65+,female,157,249,41,,6,THB,37.76,35,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",55-64,male,55,69,28,,1,THB,37.74,27,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",55-64,female,56,81,31,,0,THB,36.25,30,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,unknown,57,75,22,,1,THB,33.26,21,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",55-64,male,112,197,31,,1,THB,31.01,30,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,male,42,59,18,,1,THB,25.89,17,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",65+,male,75,126,23,,1,THB,18.53,22,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",25-34,unknown,74,144,15,,0,THB,16.69,14,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",35-44,unknown,13,24,5,,0,THB,9.57,5,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",25-34,unknown,94,172,17,,17,THB,9.09154564,8,,1,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",35-44,unknown,74,190,26,,31,THB,8.63146743,10,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,unknown,68,111,17,,16,THB,7.55060421,12,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",35-44,unknown,23,38,5,,0,THB,6.31,5,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",35-44,unknown,49,111,12,,12,THB,5.42043375,11,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",45-54,unknown,35,65,9,,11,THB,3.35056963,5,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",55-64,unknown,13,35,9,,12,THB,2.36040129,1,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",45-54,unknown,2,3,1,,0,THB,1.39,1,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",55-64,unknown,2,2,,,0,THB,1.33,,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",45-54,unknown,16,23,3,,3,THB,1.32010564,3,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,unknown,3,3,,,0,THB,1.02,,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",45-54,unknown,3,3,1,,0,THB,0.95,1,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",55-64,unknown,3,4,1,,0,THB,0.61,1,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",55-64,unknown,3,7,2,,2,THB,0.48003841,2,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",65+,unknown,4,6,2,,4,THB,0.15002551,,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",65+,unknown,2,4,,,0,THB,0.1200096,,,,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",65+,unknown,1,1,,,0,THB,0.11,,,,,,2026-01-01,2026-01-31
